exp,step,accuracy_percent,total_samples,correct_predictions,csv_path
sft_train_cifar10_test_cifar10_qwen2_5,10000,96.46,10000,9646,./sft_train_cifar10_test_cifar10_qwen2_5/10000_steps/10000_steps_20250813_100008_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,10000,33.71,10000,3371,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2/10000_steps/10000_steps_20250813_021342_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,10000,84.42,10000,8442,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar100_qwen2_5/10000_steps/10000_steps_20250813_095159_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,10000,55.25,10000,5525,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2/10000_steps/10000_steps_20250813_101418_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,10000,53.16,10000,5316,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2_5/10000_steps/10000_steps_20250813_095118_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,10000,35.12,10000,3512,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2_5/10000_steps/10000_steps_20250813_100054_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,10000,96.52,10000,9652,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar10_qwen2/10000_steps/10000_steps_20250813_101315_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,15000,27.25,10000,2725,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2/15000_steps/15000_steps_20250813_021529_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,15000,96.8,10000,9680,./sft_train_cifar10_test_cifar10_qwen2_5/15000_steps/15000_steps_20250813_100125_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,15000,85.09,10000,8509,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar100_qwen2_5/15000_steps/15000_steps_20250813_095402_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,15000,37.35,10000,3735,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2/15000_steps/15000_steps_20250813_101546_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,15000,50.93,10000,5093,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2_5/15000_steps/15000_steps_20250813_095238_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,15000,37.37,10000,3737,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2_5/15000_steps/15000_steps_20250813_100259_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,15000,96.11,10000,9611,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar10_qwen2/15000_steps/15000_steps_20250813_101432_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,20000,96.37,10000,9637,./sft_train_cifar10_test_cifar10_qwen2_5/20000_steps/20000_steps_20250813_100241_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,20000,24.19,10000,2419,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2/20000_steps/20000_steps_20250813_021737_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,20000,85.89,10000,8589,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar100_qwen2_5/20000_steps/20000_steps_20250813_095608_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,20000,38.73,10000,3873,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2/20000_steps/20000_steps_20250813_101711_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,20000,51.75,10000,5175,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2_5/20000_steps/20000_steps_20250813_095400_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,20000,34.4,10000,3440,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2_5/20000_steps/20000_steps_20250813_100508_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,20000,96.06,10000,9606,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar10_qwen2/20000_steps/20000_steps_20250813_101554_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,25000,96.24,10000,9624,./sft_train_cifar10_test_cifar10_qwen2_5/25000_steps/25000_steps_20250813_100401_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,25000,21.37,10000,2137,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2/25000_steps/25000_steps_20250813_021946_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,25000,85.32,10000,8532,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar100_qwen2_5/25000_steps/25000_steps_20250813_095812_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,25000,34.25,10000,3425,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2/25000_steps/25000_steps_20250813_101843_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,25000,45.12,10000,4512,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2_5/25000_steps/25000_steps_20250813_095520_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,25000,27.38,10000,2738,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2_5/25000_steps/25000_steps_20250813_100712_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,25000,96.31,10000,9631,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar10_qwen2/25000_steps/25000_steps_20250813_101726_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,30000,95.89,10000,9589,./sft_train_cifar10_test_cifar10_qwen2_5/30000_steps/30000_steps_20250813_100519_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,30000,85.51,10000,8551,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar100_qwen2_5/30000_steps/30000_steps_20250813_100016_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,30000,30.95,10000,3095,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2/30000_steps/30000_steps_20250813_102014_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,30000,46.62,10000,4662,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar100_test_cifar10_qwen2_5/30000_steps/30000_steps_20250813_095642_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,30000,26.41,10000,2641,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar100_qwen2_5/30000_steps/30000_steps_20250813_100917_accuracy.csv
sft_train_cifar10_test_cifar10_qwen2_5,30000,96.25,10000,9625,./sft_train_cifar10_test_cifar10_qwen2_5/sft_train_cifar10_test_cifar10_qwen2/30000_steps/30000_steps_20250813_101857_accuracy.csv
